Date,SP500,HKHSI,Nikkei225
6/10/2019,0.00464922,0.022491496,0.01188563
6/11/2019,-0.000349941,0.007610906,0.003300028
6/12/2019,-0.002039658,-0.01745591,-0.003522401
6/13/2019,0.004089011,-0.000503634,-0.004635526
6/14/2019,-0.001612812,-0.006482339,0.004028136
6/17/2019,0.000931316,0.004004404,0.000336611
6/18/2019,0.00967049,0.009926249,-0.007187721
6/19/2019,0.002980717,0.025256624,0.017073797
6/20/2019,0.009427605,0.012274103,0.00602806
6/21/2019,-0.001260016,-0.002690748,-0.00956054
6/24/2019,-0.001733388,0.001378885,0.00128569
6/25/2019,-0.009541776,-0.011535416,-0.004339937
6/26/2019,-0.001234696,0.001276416,-0.005071898
6/27/2019,0.003815886,0.014054262,0.011860198
6/28/2019,0.005740942,-0.002757007,-0.002921571
7/2/2019,0.002923847,0.011597203,0.001117593
7/3/2019,0.007643095,-0.00070742,-0.005351609
7/5/2019,-0.001807534,-0.000727436,0.002022225
7/8/2019,-0.004847173,-0.015520103,-0.00979803
7/9/2019,0.001235793,-0.007632204,0.001429287
7/10/2019,0.004500547,0.003139514,-0.001469649
7/11/2019,0.00228262,0.008020008,0.005097577
7/12/2019,0.004609534,0.001399507,0.001955766
7/16/2019,-0.003409585,0.002264587,-0.00697117
7/17/2019,-0.006552665,-0.000924591,-0.003072724
7/18/2019,0.003575598,-0.004609951,-0.019896471
7/19/2019,-0.006195889,0.010615366,0.019794484
7/22/2019,0.002824702,-0.013796637,-0.002341267
7/23/2019,0.006824145,0.003350619,0.009484404
7/24/2019,0.004677193,0.002019936,0.004093637
7/25/2019,-0.005276297,0.002460217,0.002161706
7/26/2019,0.007360536,-0.006897852,-0.004533052
7/29/2019,-0.001617422,-0.010311903,-0.001911019
7/30/2019,-0.002581985,0.001425343,0.0042704
7/31/2019,-0.010945207,-0.013187672,-0.008687429
8/1/2019,-0.009039527,-0.007663123,0.000903846
8/2/2019,-0.007309389,-0.023755461,-0.021293311
8/5/2019,-0.030230182,-0.028917078,-0.017550964
8/6/2019,0.012933024,-0.006717396,-0.006535627
8/7/2019,0.000766582,0.000799991,-0.00334535
8/8/2019,0.018588463,0.004748492,0.003735798
8/9/2019,-0.006638593,-0.006971542,0.004431924
8/13/2019,0.015018346,-0.021267177,-0.011151278
8/14/2019,-0.029730352,0.00082946,0.009714921
8/15/2019,0.002461237,0.007605951,-0.012151914
8/16/2019,0.014323058,0.009321217,0.000644719
8/19/2019,0.012033175,0.021436968,0.007044571
